,Country Name,Country codes,Mortality,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Cases_Per_Million,New_Cases_Per_Million,Total_Deaths_Per_Million,New_Deaths_Per_Million,New_Deaths_Smoothed_Per_Million,Total_Tests,New_Tests,Total_Tests_Per_Thousand,New_Tests_Per_Thousand,Tests_Per_Case,Positive_rate,Age(0-14),Age(14-64),Age(65+),Age(80 +),Basic water facility,Saf. managed water,Basic sanity,Safely Managed Sanity),"mortality(cancer,cvd)",Deaths by non-communicable dis % ,life exp(2018),Current Health Expenditure(%),Current Health Expenditure per capita(usa),Current Health Expenditure per capita(international),Physicians/1000 people,Nurses and midwives/1000 people,Diabetes Prevalence %,Mortality rates female/1000 female adults,Mortality rates male/1000 male adults,DGovtGHE (% of current health expenditure),DGGHE(% of GDP),DGGHE (% of general government expenditure),DGGHE per capita(current US $),"DGGHE per capita, PPP (current international $)",DPvtHE (% of current health expenditure),DPvtHE per capita (current US$),"DPvtHE per capita, PPP  (current international $)",OPE(% of current health expenditure),OPE per capita (current US$),"OPE per capita, PPP (current international $)",total % labor unemp,Hospital_Beds_Per_Thousand,Cardiovasc_Death_Rate,Diabetes_Prevalence,Female_smokers,Male_smokers,Human_Dev_index
0,Afghanistan,AFG,0.037859329,44771.0,252.0,1695.0,8.0,1150.0,6.47,43.54,0.21,0.25,7273142.789,60416.1868,172.33215769999998,2.24534408,146.2468133,0.831774082,42.47227139,54.91193440000001,2.622695155,0.277435863,67.06462342,81.44728375,43.41761001,74.17553068,29.8,44.1,64.486,2.791500278,114.4596405,2007.37163,2.450374213,0.1755,9.2,192.532,237.554,5.1,0.6,2.32,3.42,1357.187019,75.48,50.67,653.9837143,75.48,50.67,443.20048080000004,10.36499977,0.5,597.029,9.59,11.88105263,32.77777778,0.498
1,Argentina,ARG,0.027001861000000002,1370350.0,4181.0,37002.0,100.0,30320.0,92.51,818.71,2.21,4.95,7273142.789,60416.1868,172.33215769999998,2.24534408,146.2468133,0.831774082,24.59552588,64.16136585,11.19956201,2.616637233,91.67458257,81.44728375,81.77910759999999,74.17553068,15.8,77.6,76.52,10.36270484,407.63586430000004,1916.50415,3.9901,2.5996,5.9,79.483,147.086,72.43,6.61,16.05,959.44,1388.16,27.07,358.59,518.82,15.02,198.94,287.83,9.647000313,5.0,191.032,5.5,16.2,27.7,0.825
2,Armenia,ARM,0.015594788,126709.0,485.0,1976.0,24.0,42760.0,163.67,666.84,8.1,9.06,7273142.789,60416.1868,172.33215769999998,2.24534408,146.2468133,0.831774082,20.76595201,67.75038027,11.37683986,3.1575789289999996,99.91337654,86.47635485,93.64230727,48.22316687,22.3,93.3,74.945,7.8288040379999995,1225.437532,1001.069031,4.4023,6.107,6.1,65.595,173.428,13.24,1.37,5.27,53.99,132.59,85.47,348.4,855.6,84.35,343.83,844.38,15.91699982,4.2,341.01,7.11,1.5,52.1,0.755
3,Australia,AUS,0.032601272,27821.0,14.0,907.0,0.0,1091.0,0.55,35.57,0.0,0.0,8423824.0,45818.0,330.348,1.517,2628.262,0.0,19.27544671,64.80335154,15.91776497,4.083478298,99.96993559999999,81.44728375,99.99115238,75.63987157,9.1,89.5,82.74878049,10.39661691,4939.875488000001,4816.153809,3.6778,12.5508,5.6,113.9662371,175.51792930000002,68.91,6.34,17.8,3674.31,3318.95,31.09,1657.51,1497.21,18.15,967.84,874.23,5.251999855,3.84,107.791,5.07,13.0,16.5,0.939
4,Austria,AUT,0.008934520999999999,246124.0,5215.0,2199.0,44.0,27328.0,579.03,244.16,4.89,8.25,2018402.0,25278.0,224.108,2.1719999999999997,12.009,0.083,14.36185763,66.56253608,19.04135832,5.30965129,100.0,98.90620097,99.97290961,96.74673828,11.4,92.2,81.69268293,6.651829182999999,275.80935669999997,5617.396484000001,5.1697,7.0899,6.6,113.9662371,175.51792930000002,72.39,7.53,15.31,3576.1,4066.58,27.61,1363.77,1550.82,19.2,948.62,1078.72,4.842000008,7.37,145.183,6.35,28.4,30.9,0.908
5,Bangladesh,BGD,0.014279934,447341.0,2060.0,6388.0,38.0,2716.0,12.51,38.79,0.23,0.17,2224332.0,14958.0,13.505999999999998,0.08199999999999999,9.321,0.107,27.21436538,67.60528327,5.180489555,1.022221071,97.01600557,55.44122639,48.23324272,74.17553068,21.6,66.9,72.32,8.095603436000001,663.7150879,94.30201721,0.5433,0.3163,9.2,114.505,151.411,16.69,0.38,2.99,6.06,15.74,76.55,27.78,72.19,73.88,26.81,69.67,3.345000029,0.8,298.003,8.38,1.0,44.7,0.608
6,Belarus,BLR,0.008838781,123999.0,1564.0,1096.0,7.0,13123.0,165.52,115.99,0.74,0.76,1841704.0,60416.1868,194.903,1.4669999999999999,47.373000000000005,0.021,17.03632015,67.7628385,14.90810995,3.8212146060000003,96.48397119,94.5213903,97.79095198,80.51576593,23.7,90.5,74.17560976,5.642822757,280.4988098,1129.1132810000001,2.450374213,8.973589257,5.0,113.9662371,175.51792930000002,69.96,4.15,10.62,239.63,789.97,29.67,101.62,335.02,27.52,94.24,310.68,5.84499979,11.0,443.129,5.18,10.5,46.1,0.808
7,Belgium,BEL,0.027788427999999997,558146.0,2652.0,15510.0,126.0,48159.0,228.83,1338.27,10.87,13.94,4367693.0,78078.0,376.86300000000006,5.555,6.355,0.157,17.05820304,63.93523089,18.98457424,5.694524722000001,100.00000329999999,99.52318898,99.48606020000001,97.10018224,11.4,85.7,81.59512195,3.718582168,30.76644707,5119.074707,3.0709,18.9734,4.6,49.245,80.262,77.22,7.98,15.31,3480.46,3952.82,22.78,1026.89,1166.26,17.64,795.02,902.91,6.015999794,5.64,114.898,4.29,25.1,31.4,0.916
8,Bolivia,BOL,0.061866845,143922.0,0.0,8904.0,0.0,12329.0,0.0,762.78,0.0,0.67,321649.0,1110.0,27.555,0.077,5.606,0.17800000000000002,30.62526166,62.036106700000005,7.340966891,1.680705025,92.84873518,81.44728375,60.71693757,22.93827129,17.2,64.5,71.23899999999999,9.467476606,928.7993163999998,491.677063,2.450374213,1.5589,6.8,138.315,219.19400000000002,68.53,4.42,11.52,150.95,336.94,29.17,64.25,143.41,25.08,55.24,123.3,3.1429998869999998,1.1,204.299,6.89,11.88105263,32.77777778,0.693
9,Brazil,BRA,0.027865562000000003,6071401.0,18615.0,169183.0,194.0,28563.0,87.58,795.93,0.91,2.28,6421441.0,60416.1868,30.21,0.35,146.2468133,0.831774082,21.00919373,69.73919823,9.232510701,1.88199852,98.19339267,81.44728375,88.29384941,49.27578709,16.6,73.9,75.672,6.7791268229999995,1183.836182,1472.230957,2.1652,9.737,10.4,91.421,188.528,41.88,3.96,10.26,388.98,616.56,58.05,539.21,854.69,27.46,255.01,404.21,10.16800022,2.2,177.96099999999998,8.11,10.1,17.9,0.759
10,Bulgaria,BGR,0.023641437999999997,121820.0,1123.0,2880.0,60.0,17532.0,161.62,414.48,8.64,15.42,642677.0,9038.0,92.492,0.973,6.374,0.157,14.68537892,64.06165381,21.15179114,4.706861583,99.10834282,96.94593519,86.00369811,64.41371232,23.6,95.2,74.96341463,4.748104885,1127.186279,1689.687134,2.450374213,8.973589257,6.0,113.9662371,175.51792930000002,51.86,4.2,11.99,344.27,876.45,48.14,319.52,813.45,46.55,308.98,786.59,4.144999981000001,7.454,424.68800000000005,5.81,30.1,44.4,0.813
11,Canada,CAN,0.034659292,330503.0,4792.0,11455.0,49.0,8757.0,126.97,303.51,1.3,1.9,9397664.0,543766.0,248.99599999999998,3.764,57.104,0.018000000000000002,15.84589974,66.50620337,17.63821799,4.347222316,99.43624408,98.86085405,99.28601285,82.31639797,9.8,88.3,81.94878049,6.598977973999999,934.0080507000001,4928.62793,2.6102,9.9491,7.6,113.9662371,175.51792930000002,73.72,7.79,19.33,3505.28,3633.32,26.28,1249.67,1295.31,14.22,676.14,700.84,5.725999832,2.5,105.59899999999999,7.37,12.0,16.6,0.926
12,Chile,CHL,0.027872521,540640.0,1497.0,15069.0,39.0,28282.0,78.31,788.28,2.04,1.87,3997900.0,31734.0,209.137,1.6130000000000002,21.023000000000003,0.048,19.49427286,68.62418701,11.86058943,2.7513899110000004,99.8327912,98.63916973,100.0000014,77.46482309,12.4,84.7,80.042,5.151193216,440.8256226,2228.556885,2.4411,12.1372,8.6,59.035,107.669,50.06,4.5,17.73,691.8,1115.58,49.94,690.19,1112.98,33.53,463.44,747.33,6.5850000379999996,2.11,127.993,8.46,34.2,41.5,0.843
